symbol,Date,Open,High,Low,avg_sentiment_score
TSLA,2024-02-28,200.4199981689453,205.3000030517578,198.44000244140625,0.0106691919191919
TSLA,2024-02-29,204.17999267578125,205.27999877929688,198.4499969482422,0.1916666666666666
TSLA,2024-03-01,200.52000427246094,204.52000427246094,198.5,0.1
TSLA,2024-03-04,198.72999572753906,199.75,186.72000122070312,0.0833333333333333
TSLA,2024-03-05,183.0500030517578,184.58999633789062,177.57000732421875,0.0857142857142857
TSLA,2024-03-06,179.99000549316406,181.5800018310547,173.6999969482422,0.1288720538720538
TSLA,2024-03-07,174.35000610351562,180.0399932861328,173.6999969482422,0.2475
TSLA,2024-03-08,181.5,182.72999572753906,174.6999969482422,0.1666666666666666
TSLA,2024-03-11,175.4499969482422,182.8699951171875,174.8000030517578,-0.1672916666666666
TSLA,2024-03-12,177.77000427246094,179.42999267578125,172.41000366210938,-0.5111111111111111
TSLA,2024-03-14,167.77000427246094,171.1699981689453,160.50999450683594,0.0
TSLA,2024-03-15,163.16000366210938,165.17999267578125,160.75999450683594,-0.2124999999999999
TSLA,2024-03-18,170.02000427246094,174.72000122070312,165.89999389648438,-0.0708333333333333
TSLA,2024-03-19,172.36000061035156,172.82000732421875,167.4199981689453,0.125
TSLA,2024-03-20,173.0,176.25,170.82000732421875,0.1583333333333333
TSLA,2024-03-21,176.38999938964844,178.17999267578125,171.8000030517578,-0.05
TSLA,2024-03-22,166.69000244140625,171.1999969482422,166.3000030517578,0.0333333333333333
TSLA,2024-03-25,168.75999450683594,175.24000549316406,168.72999572753906,0.1265151515151515
TSLA,2024-03-26,178.5800018310547,184.25,177.3800048828125,0.3458333333333333
