Date,Average Sentiment
2024-01-19,0.10426569264069267
2024-01-20,0.09324247835497836
2024-01-21,0.07860227272727274
2024-01-22,0.12745093795093795
2024-01-23,0.09446399433899433
2024-01-24,0.09522258297258297
2024-01-25,0.1216064273689274
2024-01-26,0.03824518398268398
2024-01-27,0.06394123376623377
2024-01-28,0.11534217171717173
2024-01-29,0.066995670995671
2024-01-30,0.0989407647907648
2024-01-31,0.012525557775557767
2024-02-01,0.03537608225108225
2024-02-02,0.07726233766233764
2024-02-03,0.06507232744107742
2024-02-04,0.06944518999518996
2024-02-05,0.08695479659229659
2024-02-06,0.0824083694083694
2024-02-07,0.03666305916305916
2024-02-08,0.07564936591186593
2024-02-09,0.08963290043290044
2024-02-10,0.13023250360750363
2024-02-11,0.19767279942279933
2024-02-12,0.09684289321789326
2024-02-13,0.09671662157287163
2024-02-14,0.12686651034151034
2024-02-15,0.06993375311557128
2024-02-16,0.17420562770562775
2024-02-17,0.12941942189754693
2024-02-18,0.0
