Date,Adj Close,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5
2020-01-09,75.41287231445312,73.8443603515625,72.6752700805664,73.0186996459961,72.44145202636719,73.15265655517578
2020-01-10,75.5833511352539,75.41287231445312,73.8443603515625,72.6752700805664,73.0186996459961,72.44145202636719
2020-01-13,77.19813537597656,75.5833511352539,75.41287231445312,73.8443603515625,72.6752700805664,73.0186996459961
2020-01-14,76.15572357177734,77.19813537597656,75.5833511352539,75.41287231445312,73.8443603515625,72.6752700805664
2020-01-15,75.82933807373047,76.15572357177734,77.19813537597656,75.5833511352539,75.41287231445312,73.8443603515625
2020-01-16,76.77922058105469,75.82933807373047,76.15572357177734,77.19813537597656,75.5833511352539,75.41287231445312
2020-01-17,77.62924194335938,76.77922058105469,75.82933807373047,76.15572357177734,77.19813537597656,75.5833511352539
2020-01-21,77.10316467285156,77.62924194335938,76.77922058105469,75.82933807373047,76.15572357177734,77.19813537597656
2020-01-22,77.37837219238281,77.10316467285156,77.62924194335938,76.77922058105469,75.82933807373047,76.15572357177734
2020-01-23,77.75102233886719,77.37837219238281,77.10316467285156,77.62924194335938,76.77922058105469,75.82933807373047
2020-01-24,77.52694702148438,77.75102233886719,77.37837219238281,77.10316467285156,77.62924194335938,76.77922058105469
2020-01-27,75.24723815917969,77.52694702148438,77.75102233886719,77.37837219238281,77.10316467285156,77.62924194335938
2020-01-28,77.37596130371094,75.24723815917969,77.52694702148438,77.75102233886719,77.37837219238281,77.10316467285156
2020-01-29,78.99562072753906,77.37596130371094,75.24723815917969,77.52694702148438,77.75102233886719,77.37837219238281
2020-01-30,78.8811264038086,78.99562072753906,77.37596130371094,75.24723815917969,77.52694702148438,77.75102233886719
2020-01-31,75.3836441040039,78.8811264038086,78.99562072753906,77.37596130371094,75.24723815917969,77.52694702148438
2020-02-03,75.1766128540039,75.3836441040039,78.8811264038086,78.99562072753906,77.37596130371094,75.24723815917969
2020-02-04,77.65846252441406,75.1766128540039,75.3836441040039,78.8811264038086,78.99562072753906,77.37596130371094
2020-02-05,78.2917251586914,77.65846252441406,75.1766128540039,75.3836441040039,78.8811264038086,78.99562072753906
2020-02-06,79.20750427246094,78.2917251586914,77.65846252441406,75.1766128540039,75.3836441040039,78.8811264038086
2020-02-07,78.130859375,79.20750427246094,78.2917251586914,77.65846252441406,75.1766128540039,75.3836441040039
2020-02-10,78.5019302368164,78.130859375,79.20750427246094,78.2917251586914,77.65846252441406,75.1766128540039
2020-02-11,78.02832794189453,78.5019302368164,78.130859375,79.20750427246094,78.2917251586914,77.65846252441406
2020-02-12,79.88130950927734,78.02832794189453,78.5019302368164,78.130859375,79.20750427246094,78.2917251586914
2020-02-13,79.3124771118164,79.88130950927734,78.02832794189453,78.5019302368164,78.130859375,79.20750427246094
2020-02-14,79.33200073242188,79.3124771118164,79.88130950927734,78.02832794189453,78.5019302368164,78.130859375
2020-02-18,77.87940216064453,79.33200073242188,79.3124771118164,79.88130950927734,78.02832794189453,78.5019302368164
2020-02-19,79.00729370117188,77.87940216064453,79.33200073242188,79.3124771118164,79.88130950927734,78.02832794189453
2020-02-20,78.19678497314453,79.00729370117188,77.87940216064453,79.33200073242188,79.3124771118164,79.88130950927734
2020-02-21,76.42677307128906,78.19678497314453,79.00729370117188,77.87940216064453,79.33200073242188,79.3124771118164
2020-02-24,72.79647827148438,76.42677307128906,78.19678497314453,79.00729370117188,77.87940216064453,79.33200073242188
2020-02-25,70.33070373535156,72.79647827148438,76.42677307128906,78.19678497314453,79.00729370117188,77.87940216064453
2020-02-26,71.44642639160156,70.33070373535156,72.79647827148438,76.42677307128906,78.19678497314453,79.00729370117188
2020-02-27,66.77609252929688,71.44642639160156,70.33070373535156,72.79647827148438,76.42677307128906,78.19678497314453
2020-02-28,66.73703002929688,66.77609252929688,71.44642639160156,70.33070373535156,72.79647827148438,76.42677307128906
2020-03-02,72.95028686523438,66.73703002929688,66.77609252929688,71.44642639160156,70.33070373535156,72.79647827148438
2020-03-03,70.63346099853516,72.95028686523438,66.73703002929688,66.77609252929688,71.44642639160156,70.33070373535156
2020-03-04,73.90974426269531,70.63346099853516,72.95028686523438,66.73703002929688,66.77609252929688,71.44642639160156
2020-03-05,71.51234436035156,73.90974426269531,70.63346099853516,72.95028686523438,66.73703002929688,66.77609252929688
2020-03-06,70.56263732910156,71.51234436035156,73.90974426269531,70.63346099853516,72.95028686523438,66.73703002929688
2020-03-09,64.98170471191406,70.56263732910156,71.51234436035156,73.90974426269531,70.63346099853516,72.95028686523438
2020-03-10,69.66175842285156,64.98170471191406,70.56263732910156,71.51234436035156,73.90974426269531,70.63346099853516
2020-03-11,67.24238586425781,69.66175842285156,64.98170471191406,70.56263732910156,71.51234436035156,73.90974426269531
2020-03-12,60.601890563964844,67.24238586425781,69.66175842285156,64.98170471191406,70.56263732910156,71.51234436035156
